,Ticker,Price_Present,Price_Future,Label
186,AAOI,10.9,10.88,2
187,AAOI,10.69,11.27,0
188,AAOI,,,AAOI
189,AAON,8.18,9.61,0
190,AAON,10.08,8.97,1
191,AAON,8.8,8.68,2
192,AAON,8.64,8.78,2
193,AAON,8.78,8.77,2
194,AAON,8.77,10.54,0
195,AAON,11.6,14.35,0
196,AAON,13.36,16.37,0
197,AAON,16.01,17.46,0
198,AAON,17.45,18.56,0
199,AAON,18.25,21.23,0
200,AAON,21.05,19.88,1
201,AAON,18.91,20.81,0
202,AAON,20.87,23.21,0
203,AAON,22.51,24.41,0
204,AAON,22.77,22.7,2
205,AAON,22.81,24.23,0
206,AAON,21.69,20.88,1
207,AAON,24.42,28.17,0
208,AAON,27.98,26.63,1
209,AAON,25.75,27.55,0
210,AAON,27.55,34.0,0
211,AAON,31.95,36.65,0
212,AAON,37.25,35.2,1
213,AAON,33.7,34.45,2
214,AAON,34.35,35.6,0
215,AAON,38.65,30.35,1
216,AAON,31.65,38.3,0
217,AAON,37.1,39.01,0
218,AAON,38.22,36.54,1
219,AAON,39.86,46.29,0
220,AAON,49.52,46.6,1
221,AAON,51.86,49.11,1
222,AAON,48.66,52.44,0
223,AAON,,,AAON
224,AAP,44.56,41.2,1
225,AAP,43.09,39.45,1
226,AAP,40.12,40.0,2
227,AAP,41.34,51.35,0
228,AAP,51.35,56.29,0
229,AAP,54.86,67.11,0
230,AAP,65.5,62.81,1
231,AAP,62.63,61.02,2
232,AAP,61.02,60.33,2
233,AAP,59.14,67.14,0
234,AAP,67.01,85.9,0
235,AAP,85.77,74.21,1
236,AAP,74.21,71.44,1
237,AAP,71.58,77.65,0
238,AAP,79.27,78.97,2
239,AAP,78.36,83.63,0
240,AAP,83.63,81.07,1
241,AAP,80.35,97.06,0
242,AAP,99.24,124.96,0
243,AAP,125.5,121.44,1
244,AAP,121.11,137.41,0
245,AAP,135.14,145.19,0
246,AAP,146.27,151.42,0
247,AAP,154.47,156.53,2
248,AAP,155.36,175.25,0
249,AAP,171.22,164.3,1
250,AAP,164.09,143.41,1
251,AAP,153.35,153.34,2
252,AAP,153.84,157.38,2
253,AAP,160.18,170.86,0
254,AAP,164.33,163.88,2
255,AAP,156.61,132.99,1
256,AAP,133.02,93.1,1
257,AAP,87.08,91.58,0
258,AAP,95.72,109.02,0
259,AAP,114.0,119.15,0
260,AAP,115.33,160.73,0
261,AAP,156.13,177.68,0
262,AAP,184.72,166.46,1
263,AAP,167.14,158.64,1
264,AAP,166.29,137.5,1
265,AAP,142.23,158.58,0
266,AAP,,,AAP
267,AAP,,,AAP
268,AAPL,2.99,2.99,2
269,AAPL,2.99,2.99,2
270,AAPL,2.99,2.99,2
271,AAPL,2.99,2.99,2
272,AAPL,2.99,2.99,2
273,AAPL,2.99,2.99,2
274,AAPL,2.99,2.99,2
275,AAPL,2.99,2.99,2
276,AAPL,2.99,2.99,2
277,AAPL,2.99,2.99,2
278,AAPL,2.99,2.99,2
279,AAPL,2.99,2.99,2
280,AAPL,2.99,2.99,2
281,AAPL,2.99,2.99,2
282,AAPL,2.99,2.99,2
283,AAPL,2.99,2.99,2
284,AAPL,2.99,2.99,2
285,AAPL,2.99,2.99,2
286,AAPL,2.99,2.99,2
287,AAPL,2.99,2.99,2
288,AAPL,2.99,2.99,2
289,AAPL,2.99,2.99,2
290,AAPL,2.99,2.99,2
291,AAPL,2.99,2.99,2
292,AAPL,2.99,2.99,2
293,AAPL,2.99,3.35,0
294,AAPL,3.03,3.59,0
295,AAPL,3.83,4.46,0
296,AAPL,4.79,6.27,0
297,AAPL,5.87,4.45,1
298,AAPL,4.78,6.43,0
299,AAPL,6.43,5.59,1
300,AAPL,5.94,3.51,1
301,AAPL,3.69,3.44,1
302,AAPL,3.16,4.48,0
303,AAPL,4.45,5.72,0
304,AAPL,5.6,7.33,0
305,AAPL,7.23,7.25,2
306,AAPL,7.25,9.62,0
307,AAPL,9.26,9.08,2
308,AAPL,9.08,11.05,0
309,AAPL,10.99,12.26,0
310,AAPL,12.1,12.07,2
311,AAPL,12.52,13.83,0
312,AAPL,13.82,14.12,2
313,AAPL,14.31,15.88,0
314,AAPL,15.95,21.79,0
315,AAPL,21.79,20.53,1
316,AAPL,20.53,21.77,0
317,AAPL,21.26,16.27,1
318,AAPL,16.09,14.48,1
319,AAPL,14.48,15.73,0
320,AAPL,15.73,19.0,0
321,AAPL,18.75,17.85,1
322,AAPL,18.09,21.22,0
323,AAPL,20.28,24.26,0
324,AAPL,24.3,26.21,0
325,AAPL,26.28,27.29,0
326,AAPL,28.83,32.64,0
327,AAPL,32.64,30.84,1
328,AAPL,31.3,28.88,1
329,AAPL,29.82,23.52,1
330,AAPL,23.36,24.45,0
331,AAPL,24.45,25.74,0
332,AAPL,25.74,28.62,0
333,AAPL,28.9,30.48,0
334,AAPL,32.19,36.65,0
335,AAPL,36.77,38.89,0
336,AAPL,39.28,42.03,0
337,AAPL,43.12,39.12,1
338,AAPL,40.12,44.14,0
339,AAPL,44.14,51.85,0
340,AAPL,50.38,55.55,0
341,AAPL,50.4,43.55,1
342,AAPL,41.31,50.17,0
343,AAPL,52.63,52.11,2
344,AAPL,53.26,62.19,0
345,AAPL,62.19,77.38,0
346,AAPL,,,AAPL
347,AAWW,51.2,38.51,1
348,AAWW,39.09,50.78,0
349,AAWW,45.05,47.52,0
350,AAWW,52.26,51.26,2
351,AAWW,46.87,44.77,1
352,AAWW,45.55,45.18,2
353,AAWW,46.62,44.34,1
354,AAWW,40.19,43.82,0
355,AAWW,43.93,38.5,1
356,AAWW,38.39,34.04,1
357,AAWW,34.99,35.34,2
358,AAWW,39.58,32.03,1
359,AAWW,34.22,36.92,0
360,AAWW,40.9,48.62,0
361,AAWW,47.57,56.56,0
362,AAWW,48.74,48.66,2
363,AAWW,48.66,41.24,1
364,AAWW,39.41,35.61,1
365,AAWW,37.09,42.43,0
366,AAWW,48.66,35.96,1
367,AAWW,35.02,47.85,0
368,AAWW,42.55,52.4,0
369,AAWW,56.0,48.75,1
370,AAWW,53.35,65.2,0
371,AAWW,66.8,61.23,1
372,AAWW,56.05,53.45,1
373,AAWW,63.75,68.5,0
374,AAWW,67.4,63.1,1
375,AAWW,64.65,55.21,1
376,AAWW,53.8,53.51,2
377,AAWW,58.38,38.98,1
378,AAWW,47.59,34.41,1
379,AAWW,34.41,23.1,1
380,AAWW,21.31,22.98,0
381,AAWW,,,AAWW
382,AAXN,3.62,5.6,0
383,AAXN,5.42,4.92,1
384,AAXN,7.68,8.68,0
385,AAXN,5.24,5.59,0
386,AAXN,5.69,8.04,0
387,AAXN,8.04,8.56,0
388,AAXN,7.87,9.4,0
389,AAXN,9.0,8.72,1
390,AAXN,8.72,16.01,0
391,AAXN,17.6,16.52,1
392,AAXN,19.5,14.28,1
393,AAXN,13.2,12.35,1
394,AAXN,11.64,18.58,0
395,AAXN,18.58,26.98,0
396,AAXN,24.13,33.99,0
397,AAXN,31.94,24.65,1
398,AAXN,24.45,20.19,1
399,AAXN,20.19,15.38,1
400,AAXN,19.85,23.08,0
401,AAXN,19.41,28.68,0
402,AAXN,28.68,26.82,1
403,AAXN,23.67,26.89,0
404,AAXN,22.53,24.66,0
405,AAXN,26.25,22.46,1
406,AAXN,23.02,21.53,1
407,AAXN,21.53,25.28,0
408,AAXN,37.69,65.3,0
409,AAXN,55.44,61.47,0
410,AAXN,59.33,52.25,1
411,AAXN,50.7,51.98,2
412,AAXN,55.49,68.51,0
413,AAXN,63.73,57.5,1
414,AAXN,58.09,64.45,0
415,AAXN,,,AAXN
416,AAXN,,,AAXN
417,AB,31.35,27.18,1
418,AB,27.18,25.74,1
419,AB,27.32,19.75,1
420,AB,16.92,22.93,0
421,AB,23.55,23.93,2
422,AB,23.93,21.8,1
423,AB,22.4,23.35,0
424,AB,24.5,21.25,1
425,AB,22.8,25.05,0
426,AB,25.05,26.3,0
427,AB,25.75,27.45,0
428,AB,26.35,26.95,2
429,AB,26.25,30.4,0
430,AB,30.4,28.25,1
431,AB,28.57,30.01,0
432,AB,30.7,28.84,1
433,ABAX,27.48,24.53,1
434,ABAX,22.25,26.72,0
435,ABAX,26.72,27.9,0
436,ABAX,27.9,34.68,0
437,ABAX,34.25,35.58,0
438,ABAX,37.83,36.61,1
439,ABAX,36.61,42.88,0
440,ABAX,45.74,47.79,0
441,ABAX,46.53,40.35,1
442,ABAX,40.59,35.31,1
443,ABAX,35.45,38.5,0
444,ABAX,37.07,41.54,0
445,ABAX,47.87,49.64,0
446,ABAX,45.07,53.5,0
447,ABAX,52.94,59.48,0
448,ABAX,59.74,53.23,1
449,ABAX,48.76,51.38,0
450,ABAX,48.74,52.62,0
451,ABAX,52.25,39.83,1
452,ABAX,39.83,45.1,0
453,ABAX,49.46,47.74,1
